call to Robot/MoveD
0.012826 0 0 0.000000
0.086241 0 0 0.000000
0.136216 -1 0 -32.498792
0.170130 -1 0 -35.890175
0.210666 -1 0 -39.943700
0.260639 -1 38 -44.941054
0.304992 -1 37 -49.376325
0.350068 -1 36 -53.883971
0.387721 0 35 -25.766625
0.431682 0 35 -25.766625
0.472801 1 35 6.289313
0.516393 1 34 10.648575
0.558498 1 50 14.859083
0.594839 1 49 18.493208
0.644970 1 48 23.506308
0.688239 1 47 27.833208
0.718927 0 46 -0.632396
0.794518 0 46 -0.632396
0.828144 0 78 -0.632396
0.868949 0 78 -0.632396
0.907010 0 78 -0.632396
0.942997 0 78 -0.632396
0.988785 0 78 -0.632396
1.037737 0 78 -0.632396
1.048269 0 78 -0.632396
1.058771 0 78 -0.632396
1.067867 0 78 -0.632396
1.094898 0 101 -0.632396
1.134680 0 101 -0.632396
1.168826 0 101 -0.632396
1.205980 0 101 -0.632396
1.244967 0 101 -0.632396
1.289961 0 101 -0.632396
1.328637 0 101 -0.632396
1.367824 0 138 -0.632396
1.406449 0 138 -0.632396
1.442800 0 138 -0.632396
1.480279 0 138 -0.632396
1.524496 0 138 -0.632396
1.566701 0 138 -0.632396
1.609823 0 138 -0.632396
1.652081 -1 156 -32.745292
1.696119 -1 155 -37.149121
1.736309 -1 154 -41.168158
1.780977 0 153 -13.401560
1.820836 0 153 -13.401560
1.866169 0 153 -13.401560
1.908156 1 174 18.697810
1.950469 1 173 22.929102
1.996157 1 172 27.497906
2.034703 1 171 31.352431
2.076582 0 170 3.446402
2.116925 0 170 3.446402
2.158150 0 170 3.446402
2.199812 0 197 3.446402
2.246472 -1 197 -28.886592
2.297516 -1 196 -33.991037
2.336674 -1 195 -37.906858
2.376750 0 194 -9.910650
2.414594 0 194 -9.910650
2.454407 0 221 -9.910650
2.504787 0 221 -9.910650
2.546329 0 221 -9.910650
2.581716 0 221 -9.910650
2.626676 0 221 -9.910650
2.666507 0 221 -9.910650
2.706144 1 221 22.071213
2.758868 1 251 27.343671
2.796200 1 250 31.076846
2.830495 1 249 34.506317
2.868100 0 248 6.386575
2.904842 0 248 6.386575
2.946819 0 248 6.386575
2.987682 0 248 6.386575
3.027945 -1 277 -25.626542
3.067799 -1 276 -29.611950
3.116055 -1 275 -34.437538
3.160827 -1 274 -38.914754
3.206239 0 273 -11.185377
3.248798 0 273 -11.185377
3.288451 0 308 -11.185377
3.330462 0 308 -11.185377
3.366167 0 308 -11.185377
3.406015 1 308 20.807027
3.421955 1 307 22.400973
3.431911 1 306 23.396598
3.450225 1 305 25.227969
3.474758 1 304 27.681248
3.512193 1 303 31.424823
3.558239 0 330 3.727090
3.600128 0 330 3.727090
3.635837 0 330 3.727090
3.674800 -1 330 -28.221054
3.714800 -1 329 -32.221067
3.756542 -1 328 -36.395267
3.798826 -1 327 -40.623683
3.848782 0 357 -13.121502
3.895806 0 357 -13.121502
3.936135 0 357 -13.121502
3.970943 0 357 -13.121502
4.016702 1 357 19.166463
4.050814 1 356 22.577650
4.088693 1 355 26.365617
4.127797 1 385 30.275946
4.160738 1 384 33.570117
4.196610 1 383 37.157225
4.235861 0 382 9.119790
4.270205 0 382 9.119790
4.301011 0 382 9.119790
4.334695 0 382 9.119790
4.376438 -1 382 -22.967375
4.408872 -1 404 -26.210712
4.446835 -1 403 -30.007071
4.486279 -1 402 -33.951442
4.529811 -1 401 -38.304658
4.570627 0 400 -10.345435
4.606786 0 400 -10.345435
4.645983 0 400 -10.345435
4.690754 0 427 -10.345435
call to Robot/Rotate
call to Robot/Rotate
call to Robot/Rotate
call to Robot/MoveD
0.049051 0 0 0.000000
0.087869 0 0 0.000000
0.123540 0 0 0.000000
0.157361 0 0 0.000000
0.193790 0 0 0.000000
0.233993 1 0 32.010179
0.281673 1 365 36.778096
0.327130 1 364 41.323850
0.372662 1 363 45.877050
0.413187 0 362 17.903315
0.447901 0 362 17.903315
0.487277 0 362 17.903315
0.527028 0 362 17.903315
0.577219 0 376 17.903315
0.621541 -1 376 -14.312750
0.654327 -1 375 -17.591375
0.689182 -1 374 -21.076821
0.727766 -1 373 -24.935308
0.773213 -1 372 -29.479933
0.815432 -1 371 -33.701867
0.875840 0 389 -6.722287
1.007277 0 389 -6.722287
1.132997 0 389 -6.722287
call to Robot/Rotate
call to Robot/MoveD
0.039961 0 0 0.000000
0.052553 0 0 0.000000
0.065939 0 0 0.000000
0.079160 0 0 0.000000
0.098657 0 0 0.000000
0.110361 0 0 0.000000
0.125185 0 0 0.000000
0.136545 0 0 0.000000
0.150555 0 0 0.000000
0.166163 0 0 0.000000
0.178516 0 0 0.000000
0.191983 0 0 0.000000
0.206098 0 0 0.000000
0.217182 0 0 0.000000
0.277977 0 397 0.000000
0.317891 0 397 0.000000
0.328570 0 397 0.000000
0.339347 0 397 0.000000
0.382578 0 397 0.000000
0.397361 0 397 0.000000
0.432639 0 397 0.000000
0.478383 0 397 0.000000
0.494635 0 397 0.000000
0.508328 0 397 0.000000
0.547213 0 397 0.000000
0.582744 0 397 0.000000
0.595566 0 397 0.000000
0.607611 0 397 0.000000
0.620095 0 397 0.000000
0.663950 0 397 0.000000
0.677355 0 397 0.000000
0.687607 0 397 0.000000
0.721054 0 397 0.000000
0.730405 0 397 0.000000
0.739963 0 397 0.000000
0.749768 0 397 0.000000
0.759889 0 397 0.000000
0.775412 0 397 0.000000
0.819464 1 385 32.202575
0.834152 1 384 33.671388
0.844587 1 383 34.714904
0.880565 1 382 38.312733
0.916585 1 381 41.914733
0.931686 1 380 43.424783
0.967277 1 379 46.983908
1.000598 1 378 50.315979
1.036557 1 377 53.911887
1.071153 1 376 57.371479
1.084725 1 375 58.728763
1.120118 1 374 62.268054
1.149928 1 373 65.249058
1.159952 1 372 66.251404
1.169162 1 371 67.172421
1.204143 1 370 70.670504
1.215556 1 369 71.811854
1.228351 1 368 73.091308
1.259315 1 367 76.187738
1.269375 1 366 77.193738
1.304361 1 365 80.692279
1.334619 1 364 83.718158
1.366762 1 363 86.932442
1.400252 1 362 90.281458
1.437118 1 361 93.968067
1.467585 1 360 97.014750
1.478094 1 359 98.065646
1.491183 1 358 99.374562
1.602502 1 353 110.506467
1.640267 1 352 114.282954
1.676441 1 351 117.900296
1.715363 1 350 121.792558
1.757579 1 349 126.014083
1.795799 1 348 129.836125
1.830766 1 347 133.332837
1.867843 1 340 137.040567
1.911866 1 339 141.442825
1.955872 1 338 145.843421
1.987726 1 337 149.028867
2.020083 1 336 152.264475
2.058428 1 335 156.099067
2.096166 1 334 159.872796
2.128511 1 329 163.107317
2.254287 1 328 175.684888
2.369865 1 327 187.242754
2.490008 1 330 199.256996
2.609929 1 329 211.249071
2.729715 1 328 223.227679
2.847907 1 330 235.046925
2.967746 1 329 247.030821
3.076082 1 328 257.864387
3.181866 1 330 268.442842
3.291356 1 329 279.391858
3.399631 1 328 290.219304
3.508377 1 330 301.093925
3.617562 1 329 312.012429
3.724662 1 328 322.722387
3.831698 1 330 333.426025
3.940445 1 329 344.300767
4.047559 1 328 355.012121
4.156194 1 330 365.875583
4.264304 1 329 376.686625
4.371564 1 328 387.412667
4.478419 1 330 398.098133
4.587724 1 329 409.028637
4.694477 1 328 419.703875
4.801591 1 330 430.415354
4.909752 1 329 441.231438
5.017492 1 328 452.005433
5.127079 1 330 462.964150
5.235805 1 329 473.836758
5.342352 1 328 484.491388
5.451358 1 330 495.392021
5.560044 1 329 506.260667
5.667803 1 328 517.036475
5.774512 1 330 527.707446
5.881931 1 329 538.449308
5.989493 1 328 549.205558
6.097596 1 330 560.015833
6.204380 1 329 570.694229
6.324348 1 328 582.691058
6.441863 1 330 594.442479
6.562480 1 329 606.504179
6.678314 1 328 618.087667
6.797760 1 330 630.032254
6.917651 1 329 642.021363
7.038396 1 328 654.095771
7.154540 1 334 665.710254
7.184423 1 333 668.698546
7.225509 1 332 672.807167
7.260659 1 331 676.322092
7.269931 1 330 677.249304
call to Robot/Rotate
call to Robot/MoveD
0.013318 0 0 0.000000
0.026126 0 0 0.000000
0.037059 0 0 0.000000
0.047718 0 0 0.000000
0.056627 0 0 0.000000
0.116964 0 0 0.000000
0.129097 -1 0 -30.606602
0.146434 -1 0 -32.340348
0.156531 -1 0 -33.350052
0.201018 -1 0 -37.798802
0.213199 -1 0 -39.016890
0.254818 -1 330 -43.178777
0.268919 -1 329 -44.588860
0.326955 -1 328 -50.392423
0.365388 -1 327 -54.235769
0.378120 -1 326 -55.508965
0.390073 -1 325 -56.704240
0.405879 -1 324 -58.284865
0.420351 -1 323 -59.732031
0.459313 -1 322 -63.628298
0.473272 -1 321 -65.024156
0.510528 -1 330 -68.749794
0.546786 0 329 -40.562650
0.579287 0 329 -40.562650
0.598495 0 329 -40.562650
0.612161 0 329 -40.562650
0.622560 0 329 -40.562650
0.633211 0 329 -40.562650
0.676868 0 329 -40.562650
0.689975 0 329 -40.562650
0.701862 -1 329 -71.156988
0.711809 -1 328 -72.151713
0.721203 -1 327 -73.091100
0.740772 -1 326 -75.048042
0.756790 0 325 -45.848910
0.805699 0 321 -45.848910
0.815402 0 321 -45.848910
0.824852 0 321 -45.848910
0.835025 0 321 -45.848910
0.877833 0 321 -45.848910
0.915881 0 321 -45.848910
0.957243 0 321 -45.848910
0.967392 0 321 -45.848910
0.978249 0 321 -45.848910
1.028417 0 321 -45.848910
