call to Robot/MoveCC
0.049948 0 49 0.000000
0.090694 0 49 0.000000
0.138595 -1 51 -22.395035
0.178039 -1 50 -26.339410
0.225629 -1 63 -31.098460
0.269861 -1 67 -35.521648
0.323545 -1 74 -40.889977
0.385509 -1 78 -47.086419
0.428626 -1 82 -51.398102
0.466742 -1 84 -55.209773
0.510650 -1 91 -59.600531
0.570736 0 94 -42.604819
0.616392 0 99 -42.604819
0.658014 0 103 -42.604819
0.691846 1 107 -20.913217
0.737501 1 112 -16.347779
0.777253 1 113 -12.372521
0.819850 1 121 -8.112854
0.859863 1 128 -4.111525
0.895528 1 135 -0.545067
0.936487 1 138 3.550846
0.978521 2 149 29.855896
1.027722 2 147 39.696104
1.064696 2 149 47.090904
1.099685 2 149 54.088796
1.140585 1 154 40.223840
1.180341 1 154 44.199440
1.226633 1 162 48.828577
1.266697 1 164 52.834956
1.300716 1 173 56.236856
1.348588 1 174 61.024152
1.389884 1 185 65.153715
1.431731 0 189 47.246046
1.474678 0 189 47.246046
1.508654 0 189 47.246046
1.556328 0 198 47.246046
1.598380 -1 205 25.143458
1.638685 -1 209 21.112992
1.678463 0 217 39.124062
1.711772 -1 227 17.458608
1.756622 -1 227 12.973687
1.797381 -1 220 8.897704
1.844210 -1 225 4.214862
1.889335 -1 228 -0.297683
1.934260 -1 228 -4.790158
1.976500 -1 235 -9.014154
2.016676 0 237 8.977048
2.060657 0 241 8.977048
2.107802 0 249 8.977048
2.146622 0 251 8.977048
2.167827 0 250 8.977048
2.187925 0 255 8.977048
2.216671 0 257 8.977048
2.260280 0 267 8.977048
2.304693 0 267 8.977048
2.315903 0 267 8.977048
2.327953 0 273 8.977048
2.349331 0 278 8.977048
2.365460 0 278 8.977048
2.377692 0 280 8.977048
2.411605 0 282 8.977048
2.424492 0 286 8.977048
2.435331 0 286 8.977048
2.449239 0 288 8.977048
2.479544 0 286 8.977048
2.557930 -1 294 -14.942252
2.569421 -1 294 -16.091285
2.580677 -1 296 -17.216915
2.616599 -1 297 -20.809119
2.631287 -1 302 -22.277894
2.666651 -1 304 -25.814348
2.679880 -1 303 -27.137177
2.721333 -1 320 -31.282494
2.795275 0 321 -14.979594
2.813543 0 326 -14.979594
2.827830 0 326 -14.979594
2.845619 0 321 -14.979594
2.858137 0 326 -14.979594
2.895310 0 328 -14.979594
2.958642 0 334 -14.979594
2.974165 0 336 -14.979594
3.011213 0 338 -14.979594
3.048401 0 345 -14.979594
3.061579 0 347 -14.979594
3.075664 0 347 -14.979594
3.087744 0 349 -14.979594
3.125500 0 348 -14.979594
3.139639 0 357 -14.979594
3.175903 1 361 6.833633
3.209161 1 366 10.159375
3.246285 1 370 13.871825
3.259312 1 370 15.174496
3.274090 1 372 16.652296
3.284197 1 372 17.662992
3.318683 1 376 21.111596
3.336468 1 384 22.890063
3.345515 1 384 23.794738
3.378102 1 391 27.053475
3.391418 1 397 28.385063
3.404627 1 397 29.705983
3.417914 1 399 31.034679
3.447946 0 401 12.536269
3.481568 0 412 12.536269
3.491941 0 412 12.536269
3.505381 0 411 12.536269
3.539741 0 416 12.536269
3.575815 0 416 12.536269
3.589423 0 416 12.536269
3.599974 0 420 12.536269
3.611452 0 420 12.536269
3.651549 0 420 12.536269
