call to Robot/MoveCC
0.052062 0 31 0.000000
0.084572 0 31 0.000000
0.132313 -1 36 -34.774088
0.171202 -1 38 -42.551871
0.220457 -1 40 -52.402904
0.273898 -1 51 -63.091079
0.329133 -1 57 -74.138096
0.379254 0 57 -49.150125
0.415286 -1 59 -82.753400
0.462776 0 63 -57.502354
0.504987 0 72 -57.502354
0.546332 0 67 -57.502354
0.599132 1 74 -22.222367
0.639021 1 84 -14.244617
0.677244 1 86 -6.599967
0.718924 1 91 1.735883
0.750017 1 95 7.954633
0.791167 1 99 16.184608
0.841236 2 103 61.205371
0.883120 2 112 77.958738
0.929957 1 118 62.009788
0.964618 1 120 68.942088
1.000486 1 121 76.115579
1.042501 1 128 84.518571
1.074937 1 130 91.005863
1.116095 1 135 99.237488
1.161980 0 139 73.825950
1.194807 0 139 73.825950
1.242406 0 143 73.825950
1.289289 0 147 73.825950
1.329125 -1 154 39.842358
1.359196 -1 156 33.828192
1.394596 -1 157 26.748083
1.438183 -1 164 18.030750
1.472476 -1 173 11.172125
1.514681 -1 173 2.731125
1.562371 -2 174 -41.575850
1.605276 -2 174 -58.737866
1.645055 -2 181 -74.649600
1.685003 -2 185 -90.628766
1.728472 -1 189 -73.669279
1.772393 -1 189 -82.453571
1.819241 -1 197 -91.823054
1.856472 0 198 -65.546171
1.901904 0 206 -65.546171
1.944540 0 220 -65.546171
1.984249 0 221 -65.546171
2.039231 1 235 -30.048033
2.074992 1 235 -22.895792
2.121290 1 236 -13.636083
2.158849 1 241 -6.124367
2.202502 1 243 2.606258
2.242047 1 247 10.515250
2.289255 1 251 19.956725
2.325278 1 255 27.161367
2.373199 1 259 36.745600
2.411291 1 265 44.364008
2.454559 1 267 53.017650
2.500459 1 273 62.197700
2.541138 1 273 70.333392
2.583290 1 278 78.763725
2.624500 1 282 87.005783
2.661273 1 280 94.360383
2.698713 0 281 68.104446
2.732677 0 285 68.104446
2.773158 0 290 68.104446
2.811222 0 294 68.104446
2.852342 -1 298 33.992442
2.901934 0 302 59.033242
2.935625 -1 297 25.664100
2.981074 -1 304 16.574317
3.019281 -1 322 8.933025
3.056042 -1 322 1.580750
3.096120 -1 321 -6.434883
3.130926 -1 326 -13.395966
3.170767 -1 328 -21.364308
3.213288 -1 333 -29.868408
3.261164 -1 336 -39.443700
3.304040 -1 340 -48.018841
3.342984 0 347 -21.913229
3.375986 -1 349 -55.213454
3.414887 0 353 -29.103516
3.462587 0 357 -29.103516
3.504381 0 366 -29.103516
3.549678 0 370 -29.103516
3.583975 0 374 -29.103516
3.624493 0 376 -29.103516
3.665721 0 384 -29.103516
3.704694 0 391 -29.103516
3.741163 0 393 -29.103516
3.784916 0 397 -29.103516
3.824984 0 404 -29.103516
3.864874 0 412 -29.103516
3.905000 0 411 -29.103516
3.954500 1 411 5.846534
3.991966 1 418 13.339734
4.030844 1 420 21.115292
4.072282 1 425 29.402775
4.111147 1 429 37.175842
4.152963 1 428 45.539000
4.194971 1 437 53.940667
4.231151 1 437 61.176734
4.270173 0 439 35.078904
4.310399 0 446 35.078904
4.350837 0 447 35.078904
4.384972 0 452 35.078904
4.422789 0 456 35.078904
4.455165 0 455 35.078904
4.496267 0 462 35.078904
4.548917 0 469 35.078904
4.592685 0 471 35.078904
