call to Robot/MoveCC
0.044870 0 38 0.000000
0.090094 0 38 0.000000
0.134779 0 36 0.000000
0.180666 0 40 0.000000
0.234536 0 51 0.000000
0.285963 0 55 0.000000
0.332216 0 59 0.000000
0.394840 0 65 0.000000
0.441934 0 72 0.000000
0.488408 0 78 0.000000
0.520618 0 82 0.000000
0.574576 0 86 0.000000
0.610811 0 91 0.000000
0.654105 0 95 0.000000
0.699661 0 99 0.000000
0.744599 0 103 0.000000
0.788773 0 107 0.000000
0.835365 0 118 0.000000
0.872412 0 120 0.000000
0.920462 1 128 32.402521
0.964371 0 137 4.597981
1.004695 1 139 36.614146
1.040832 0 147 8.421008
1.073765 0 154 8.421008
1.102623 0 149 8.421008
1.134144 0 147 8.421008
1.185709 0 145 8.421008
1.224373 0 147 8.421008
1.260673 0 158 8.421008
1.302594 0 162 8.421008
1.344618 0 166 8.421008
1.383741 0 166 8.421008
1.419259 0 174 8.421008
1.462549 0 185 8.421008
1.510475 0 184 8.421008
1.556115 0 184 8.421008
1.599959 0 184 8.421008
1.634622 0 199 8.421008
1.680401 0 213 8.421008
1.720290 0 221 8.421008
1.760343 0 225 8.421008
1.803863 1 225 40.597008
1.833562 0 233 12.081946
1.878702 1 229 44.338942
1.918493 0 227 16.328510
1.960696 0 229 16.328510
2.000024 0 228 16.328510
2.040473 0 235 16.328510
2.080187 0 239 16.328510
2.131318 0 243 16.328510
2.176796 0 247 16.328510
2.214581 0 251 16.328510
2.252549 0 257 16.328510
2.294488 0 259 16.328510
2.340796 0 267 16.328510
2.374324 0 267 16.328510
2.418786 0 279 16.328510
2.456076 0 282 16.328510
2.490625 0 283 16.328510
2.531486 0 288 16.328510
2.564281 0 294 16.328510
2.602565 0 294 16.328510
2.640505 0 296 16.328510
2.685292 0 302 16.328510
2.724210 0 303 16.328510
2.752800 0 308 16.328510
2.800863 0 322 16.328510
2.840278 0 321 16.328510
2.880518 0 326 16.328510
2.920343 0 326 16.328510
2.963767 0 330 16.328510
2.994420 0 334 16.328510
3.034466 0 336 16.328510
3.070619 0 340 16.328510
3.100794 0 345 16.328510
3.143410 0 347 16.328510
3.185738 -1 353 -15.787862
3.224550 -1 362 -19.669121
3.269964 -1 366 -24.210462
3.304846 -1 365 -27.698662
3.342094 -1 372 -31.423479
3.384710 0 384 -3.554312
3.425563 0 385 -3.554312
3.464463 0 393 -3.554312
3.505936 0 401 -3.554312
3.545739 0 404 -3.554312
3.591670 0 411 -3.554312
3.630705 0 411 -3.554312
3.678613 0 420 -3.554312
3.714478 0 425 -3.554312
3.760402 0 428 -3.554312
3.801701 0 428 -3.554312
3.842630 0 429 -3.554312
3.892672 0 439 -3.554312
3.932840 0 439 -3.554312
3.984390 0 443 -3.554312
4.019983 0 443 -3.554312
4.059459 0 447 -3.554312
4.099518 0 454 -3.554312
4.130789 0 456 -3.554312
4.170419 0 460 -3.554312
4.204759 0 455 -3.554312
4.249512 0 464 -3.554312
4.290512 0 469 -3.554312
4.334117 0 473 -3.554312
4.370649 1 475 28.272275
4.411627 1 474 32.370104
4.454308 1 483 36.638188
4.490641 1 488 40.271508
4.528575 1 491 44.064867
4.570269 0 500 16.149571
4.609826 1 500 48.127448
4.650354 0 504 20.153858
4.689797 0 506 20.153858
4.732800 0 511 20.153858
