call to Robot/MoveCC
0.050048 0 49 0.000000
0.100529 0 91 0.000000
0.148012 0 36 0.000000
0.197629 0 32 0.000000
0.247573 -1 40 -32.996645
0.295560 0 44 -5.875888
0.358733 0 44 -5.875888
0.418337 0 51 -5.875888
0.464506 0 55 -5.875888
0.512532 0 59 -5.875888
0.569594 0 63 -5.875888
0.608698 0 67 -5.875888
0.662203 0 72 -5.875888
0.707779 0 78 -5.875888
0.748494 0 82 -5.875888
0.800659 0 84 -5.875888
0.854579 0 91 -5.875888
0.907745 0 93 -5.875888
0.962386 0 99 -5.875888
1.008501 0 103 -5.875888
1.049450 0 112 -5.875888
1.088689 0 114 -5.875888
1.147884 0 120 -5.875888
1.180515 0 122 -5.875888
1.222085 0 126 -5.875888
1.258118 0 130 -5.875888
1.268429 0 130 -5.875888
1.288459 0 130 -5.875888
1.297778 0 130 -5.875888
1.304328 0 135 -5.875888
call to Robot/Rotate
call to Robot/Rotate
call to Robot/MoveCC
0.032652 0 460 0.000000
0.079117 0 456 0.000000
0.118187 0 456 0.000000
0.159111 0 460 0.000000
0.208516 0 464 0.000000
0.248203 1 469 32.381205
0.292089 1 474 37.647540
0.330194 1 483 42.220145
0.372933 1 483 47.348880
0.416169 1 492 52.537135
0.459107 1 491 57.689725
0.502634 1 498 62.912945
0.542652 1 504 67.715070
0.578574 0 506 39.870432
0.613067 0 509 39.870432
0.644627 0 511 39.870432
0.688235 0 517 39.870432
0.724675 0 518 39.870432
0.765021 0 523 39.870432
0.804954 0 527 39.870432
0.834727 0 534 39.870432
0.872850 0 536 39.870432
0.911121 0 538 39.870432
0.948543 0 546 39.870432
0.988252 0 551 39.870432
1.028368 0 553 39.870432
1.064611 0 554 39.870432
1.098704 0 561 39.870432
1.131028 -1 563 7.930995
1.172055 -1 567 3.007730
1.204969 -1 572 -0.941895
1.243723 -1 573 -5.592350
1.289016 0 580 21.690035
1.333084 -1 581 -10.954005
1.370953 0 589 16.773855
1.404805 0 590 16.773855
1.448600 0 598 16.773855
1.485021 0 599 16.773855
1.514954 0 605 16.773855
1.548669 0 609 16.773855
1.588391 0 616 16.773855
1.624834 0 622 16.773855
1.661193 0 624 16.773855
1.704948 0 624 16.773855
1.750694 0 632 16.773855
1.785782 0 644 16.773855
1.819027 0 645 16.773855
1.859178 -1 658 -15.635167
1.902664 -1 661 -20.853463
1.943157 -1 672 -25.712717
1.984855 0 689 1.785445
2.020580 0 698 1.785445
2.058393 0 702 1.785445
2.091896 0 710 1.785445
2.129134 0 705 1.785445
2.175903 0 705 1.785445
2.209150 -1 712 -30.209390
2.248631 0 704 -2.578265
2.282462 -1 705 -34.608145
2.318275 0 702 -6.756925
2.358568 0 712 -6.756925
2.394252 0 710 -6.756925
2.438653 0 710 -6.756925
2.472888 0 714 -6.756925
2.510139 0 712 -6.756925
2.548772 0 720 -6.756925
2.588481 0 722 -6.756925
2.628036 0 720 -6.756925
2.658467 0 726 -6.756925
2.698604 0 730 -6.756925
2.740544 0 730 -6.756925
2.779997 0 734 -6.756925
2.818985 0 740 -6.756925
2.860359 0 742 -6.756925
2.904946 0 748 -6.756925
2.952409 0 748 -6.756925
2.994884 0 748 -6.756925
3.035030 0 750 -6.756925
3.078365 0 750 -6.756925
3.114987 0 758 -6.756925
3.158880 0 757 -6.756925
