call to Robot/MoveCC
0.044095 0 51 0.000000
0.085833 0 46 0.000000
0.133677 0 36 0.000000
0.173749 0 38 0.000000
0.224258 0 32 0.000000
0.279086 0 36 0.000000
0.309521 0 38 0.000000
0.360347 0 40 0.000000
0.400180 0 40 0.000000
0.445001 0 44 0.000000
0.490427 0 49 0.000000
0.533995 0 50 0.000000
0.576248 -1 59 -32.535140
0.619749 0 63 -5.145240
0.657124 -1 67 -37.387735
0.690293 0 67 -9.377870
0.723793 0 72 -9.377870
0.756064 0 76 -9.377870
0.800362 0 77 -9.377870
0.834217 0 82 -9.377870
0.872503 0 84 -9.377870
0.910227 0 86 -9.377870
0.946176 0 93 -9.377870
0.989361 0 95 -9.377870
1.024368 0 99 -9.377870
1.066142 0 103 -9.377870
1.111041 0 103 -9.377870
1.152424 0 107 -9.377870
1.199442 0 118 -9.377870
1.239791 0 113 -9.377870
1.289258 0 122 -9.377870
1.324341 0 126 -9.377870
1.365473 0 130 -9.377870
1.400442 0 135 -9.377870
1.441451 0 137 -9.377870
1.479767 0 138 -9.377870
1.522372 0 147 -9.377870
1.554095 0 149 -9.377870
1.601651 0 154 -9.377870
1.641929 1 158 23.038770
1.674346 1 157 26.928780
1.716106 0 166 -0.565610
call to Robot/Rotate
call to Robot/Rotate
call to Robot/MoveCC
0.040008 0 399 0.000000
0.090682 0 399 0.000000
0.136083 0 399 0.000000
0.172213 0 403 0.000000
0.210636 0 404 0.000000
0.246695 0 411 0.000000
0.288582 0 416 0.000000
0.331587 0 420 0.000000
0.360675 0 425 0.000000
0.398715 0 429 0.000000
0.436701 0 428 0.000000
0.476310 0 436 0.000000
0.522483 0 443 0.000000
0.562623 0 447 0.000000
0.598417 0 452 0.000000
0.642149 0 452 0.000000
0.688328 0 456 0.000000
0.720616 0 455 0.000000
0.762518 0 469 0.000000
0.802364 0 473 0.000000
0.850383 0 474 0.000000
0.892290 0 483 0.000000
0.922130 0 483 0.000000
0.965430 0 490 0.000000
1.002169 0 492 0.000000
1.040585 0 498 0.000000
1.070521 0 500 0.000000
1.111520 0 504 0.000000
1.147911 0 508 0.000000
1.182410 0 510 0.000000
1.225226 0 515 0.000000
1.259757 0 523 0.000000
1.302124 0 527 0.000000
1.336437 0 527 0.000000
1.370736 0 536 0.000000
1.410540 0 534 0.000000
1.446648 0 540 0.000000
1.480250 0 542 0.000000
1.519504 1 551 32.355215
1.555629 1 559 36.690175
1.588592 1 563 40.645795
1.638319 1 562 46.613025
1.666642 1 570 50.011750
1.707699 1 570 54.938650
1.748024 0 578 27.358130
1.780572 0 582 27.358130
1.818552 0 581 27.358130
1.860721 0 588 27.358130
1.902634 0 590 27.358130
1.938474 0 597 27.358130
1.977861 0 598 27.358130
2.018163 0 603 27.358130
2.056269 0 609 27.358130
2.096114 0 618 27.358130
2.131480 0 624 27.358130
2.166107 -1 626 -4.719480
2.202690 0 626 23.085538
2.238724 -1 634 -9.076540
2.276660 -1 643 -13.628845
2.312529 -1 639 -17.933115
2.346696 -1 645 -22.033185
2.388080 -1 677 -26.999195
2.420662 -1 666 -30.909020
2.465552 -1 689 -36.295865
2.500498 -1 702 -40.489345
2.540390 0 697 -12.882912
2.581828 0 714 -12.882912
2.620200 0 714 -12.882912
2.648689 0 712 -12.882912
2.687450 0 687 -12.882912
2.725387 0 687 -12.882912
2.758175 0 697 -12.882912
2.798272 0 704 -12.882912
2.837902 0 698 -12.882912
2.872664 0 705 -12.882912
2.912611 0 697 -12.882912
2.946241 0 702 -12.882912
2.986406 0 706 -12.882912
3.022366 0 710 -12.882912
3.060560 0 718 -12.882912
3.097696 0 718 -12.882912
3.131353 0 720 -12.882912
3.166507 1 722 19.226340
3.202683 1 728 23.567350
3.246426 1 730 28.816565
3.288130 1 730 33.821025
3.332647 0 729 6.492070
3.362647 0 735 6.492070
3.396708 0 740 6.492070
3.435426 0 742 6.492070
3.466525 0 744 6.492070
3.502029 0 744 6.492070
3.538593 0 744 6.492070
3.572623 0 744 6.492070
3.612330 0 744 6.492070
3.648576 0 744 6.492070
3.686007 0 744 6.492070
3.722193 0 744 6.492070
3.750726 0 744 6.492070
3.786278 0 687 6.492070
3.820658 0 687 6.492070
3.852035 0 687 6.492070
3.888098 0 687 6.492070
3.922680 0 785 6.492070
3.962120 0 788 6.492070
4.000298 0 792 6.492070
4.036253 0 792 6.492070
4.072462 0 792 6.492070
4.121742 0 792 6.492070
4.157820 0 792 6.492070
4.194744 0 792 6.492070
4.230462 0 792 6.492070
4.268365 0 792 6.492070
4.302341 0 792 6.492070
4.338470 0 825 6.492070
4.376465 0 823 6.492070
4.412688 0 823 6.492070
4.446356 0 843 6.492070
4.478484 0 842 6.492070
4.520233 0 847 6.492070
4.560671 0 853 6.492070
4.592012 0 855 6.492070
4.632542 0 856 6.492070
4.666268 0 856 6.492070
4.700228 0 865 6.492070
4.737367 0 864 6.492070
4.775394 0 869 6.492070
4.812094 0 872 6.492070
4.846615 0 877 6.492070
4.887991 0 885 6.492070
4.929413 0 883 6.492070
4.967917 0 891 6.492070
5.000600 0 895 6.492070
5.036681 0 894 6.492070
5.085464 0 903 6.492070
5.127845 0 907 6.492070
5.168052 0 908 6.492070
5.201899 0 913 6.492070
5.238744 0 916 6.492070
5.278548 0 925 6.492070
5.320748 0 925 6.492070
5.352132 0 929 6.492070
5.388426 0 933 6.492070
5.426052 0 937 6.492070
5.456550 0 941 6.492070
5.498714 0 947 6.492070
5.535705 0 947 6.492070
5.567862 0 954 6.492070
5.606171 0 955 6.492070
5.646059 0 960 6.492070
5.680407 0 964 6.492070
5.722356 0 974 6.492070
5.762474 0 972 6.492070
5.807717 0 971 6.492070
5.840417 0 977 6.492070
5.882593 0 986 6.492070
5.918605 0 985 6.492070
5.956643 0 992 6.492070
6.000555 0 993 6.492070
6.042082 0 1000 6.492070
6.072574 0 1006 6.492070
6.106105 0 1006 6.492070
6.142313 0 1007 6.492070
6.177560 0 1016 6.492070
6.210561 0 1020 6.492070
6.248632 0 1022 6.492070
6.287685 0 1028 6.492070
6.325550 0 1030 6.492070
6.366600 0 1032 6.492070
6.402289 0 1044 6.492070
6.436458 0 1046 6.492070
6.468387 0 1046 6.492070
6.515930 0 1054 6.492070
6.541920 0 1052 6.492070
6.585449 -1 1058 -26.119672
6.626579 0 1061 1.412525
6.660161 -1 1068 -30.602435
6.696339 0 1074 -2.773092
6.738065 0 1076 -2.773092
6.772539 0 1083 -2.773092
6.821978 0 1085 -2.773092
6.858695 0 1091 -2.773092
6.890672 0 1093 -2.773092
6.936595 0 1097 -2.773092
6.975559 0 863 -2.773092
7.012429 0 872 -2.773092
7.040657 0 877 -2.773092
7.075512 0 1114 -2.773092
7.116689 0 1115 -2.773092
7.156292 0 1121 -2.773092
7.190242 0 1123 -2.773092
7.236329 0 1129 -2.773092
7.270650 0 1130 -2.773092
7.320577 0 1137 -2.773092
7.358336 0 1137 -2.773092
7.392176 0 1138 -2.773092
7.426597 0 1147 -2.773092
7.466005 0 1147 -2.773092
7.496418 0 1147 -2.773092
7.538164 0 1160 -2.773092
7.576014 0 1042 -2.773092
7.615947 0 1164 -2.773092
7.652402 0 1164 -2.773092
7.686657 0 1170 -2.773092
7.728623 0 1179 -2.773092
7.770491 0 1179 -2.773092
7.811869 0 1181 -2.773092
7.842606 0 1187 -2.773092
7.881953 0 1189 -2.773092
7.926270 0 1200 -2.773092
7.968667 0 1200 -2.773092
8.007906 0 1206 -2.773092
8.042424 0 1210 -2.773092
8.088049 1 984 29.964395
8.135671 1 1218 35.679050
8.177633 1 1227 40.714465
8.206591 0 1227 12.451943
8.240679 0 1232 12.451943
8.279690 0 1236 12.451943
8.320437 0 1237 12.451943
8.356575 0 1246 12.451943
8.391660 0 1246 12.451943
8.421951 0 1250 12.451943
8.456583 0 1259 12.451943
8.495671 0 1263 12.451943
8.530561 0 1265 12.451943
8.562670 0 1267 12.451943
8.597985 0 1274 12.451943
8.638556 0 1278 12.451943
8.672330 0 1280 12.451943
8.706481 0 1282 12.451943
8.747835 0 1288 12.451943
8.778459 0 1290 12.451943
8.822451 0 1297 12.451943
8.858691 0 1299 12.451943
8.893731 0 1300 12.451943
8.932493 0 1305 12.451943
8.971821 0 1309 12.451943
9.022201 0 1317 12.451943
9.061618 0 1315 12.451943
9.098579 0 1322 12.451943
9.136226 0 1324 12.451943
9.176251 0 1326 12.451943
9.211989 0 1337 12.451943
9.252020 0 1341 12.451943
9.289763 0 1343 12.451943
9.331884 0 1349 12.451943
9.371663 0 1344 12.451943
9.401993 0 1353 12.451943
9.446121 0 1360 12.451943
9.479330 0 1361 12.451943
9.520505 -1 1366 -20.018535
9.560749 -1 1368 -24.847855
9.600754 -1 1370 -29.648450
9.641722 0 1379 -2.106535
9.677451 -1 1385 -34.250255
9.715710 -1 1380 -38.841335
9.757956 0 1389 -11.376085
9.790310 0 1389 -11.376085
9.830462 0 1398 -11.376085
9.868021 0 1397 -11.376085
9.906097 0 1400 -11.376085
9.936167 0 1399 -11.376085
9.972036 0 1410 -11.376085
10.009346 0 1410 -11.376085
10.056099 0 1420 -11.376085
10.095762 0 1420 -11.376085
10.132334 0 1427 -11.376085
10.176379 0 1434 -11.376085
10.211758 0 1435 -11.376085
10.246646 0 1437 -11.376085
10.290287 0 1450 -11.376085
10.330444 0 1448 -11.376085
10.370043 0 1452 -11.376085
10.411869 0 1458 -11.376085
10.455801 0 1191 -11.376085
10.491586 0 1191 -11.376085
10.532420 0 1468 -11.376085
10.576568 0 1474 -11.376085
10.611335 0 1482 -11.376085
10.646003 0 1486 -11.376085
10.682192 0 1488 -11.376085
10.726074 0 1491 -11.376085
10.765713 0 1497 -11.376085
10.806192 0 1495 -11.376085
10.850363 1 1505 21.274198
10.881931 1 1505 25.062332
10.927714 1 1511 30.556243
10.972669 1 1513 35.950873
11.017687 1 1520 41.353067
11.052397 1 1525 45.518233
11.086562 1 1529 49.618018
11.122146 1 1291 53.888068
11.160673 0 1528 26.199700
11.206533 0 1269 26.199700
11.245653 0 1543 26.199700
11.280733 0 1547 26.199700
11.321776 0 1550 26.199700
11.369493 0 1555 26.199700
11.400578 0 1555 26.199700
11.442059 0 1559 26.199700
11.478174 0 1564 26.199700
11.510618 0 1571 26.199700
11.555787 0 1577 26.199700
11.582579 0 1577 26.199700
11.629507 -1 1584 -6.615978
11.676577 -1 1585 -12.264367
11.710705 -1 1589 -16.359747
11.750759 -1 1595 -21.166278
11.788496 -1 1597 -25.694718
11.827111 -1 1601 -30.328522
11.865733 -1 1611 -34.963113
11.906235 -1 1609 -39.823377
11.932463 0 1605 -11.397050
11.960652 0 1619 -11.397050
12.005537 0 1626 -11.397050
12.038439 0 1626 -11.397050
12.080273 0 1632 -11.397050
12.121861 0 1634 -11.397050
12.162405 0 1638 -11.397050
12.196727 0 1641 -11.397050
12.232643 0 1649 -11.397050
12.270398 0 1654 -11.397050
12.302041 0 1654 -11.397050
12.340353 0 1658 -11.397050
12.376453 0 1662 -11.397050
12.416696 0 1662 -11.397050
12.455784 0 1664 -11.397050
12.486324 0 1676 -11.397050
12.531454 0 1678 -11.397050
12.568136 0 1680 -11.397050
12.598700 0 1684 -11.397050
12.642630 1 1686 21.238723
12.676211 1 1686 25.268527
12.710596 1 1686 29.394712
12.749632 1 1686 34.079063
12.782338 1 1686 38.003703
12.822192 1 1686 42.786198
12.856338 0 1686 14.834945
12.898242 0 1686 14.834945
12.932157 0 1686 14.834945
12.971743 0 1686 14.834945
13.005757 0 515 14.834945
13.041928 0 515 14.834945
13.076008 0 515 14.834945
13.109673 0 515 14.834945
13.146253 0 515 14.834945
13.178477 0 515 14.834945
13.212175 0 515 14.834945
13.249665 0 515 14.834945
13.290143 0 515 14.834945
13.330646 0 515 14.834945
13.356613 0 515 14.834945
13.402165 0 1766 14.834945
13.439618 0 1766 14.834945
13.475974 0 1766 14.834945
13.515602 1 1766 47.212653
13.548159 1 1766 51.119438
13.591431 1 1777 56.312048
13.628366 1 1771 60.744263
13.666570 1 1762 65.328763
13.710253 1 1760 70.570738
13.828713 1 1760 84.785873
13.946313 1 1760 98.897928
14.066369 1 1760 113.304698
14.186453 1 1760 127.714713
14.308599 1 1760 142.372268
14.431605 1 1760 157.132913
14.551610 1 1760 171.533623
14.670408 1 1760 185.789303
14.788683 1 1760 199.982323
14.910608 1 1760 214.613363
15.026036 1 1760 228.464728
15.146160 1 1760 242.879593
15.268546 1 1760 257.565858
15.388385 1 1760 271.946603
15.510058 1 1760 286.547298
15.628602 1 1760 300.772618
15.748357 1 1760 315.143173
15.865988 1 1760 329.258898
15.981725 1 1760 343.147413
16.105564 1 1760 358.007993
16.226085 1 1760 372.470603
16.346364 1 1760 386.904063
16.468599 1 1760 401.572228
16.588497 1 1760 415.960023
16.708673 1 1760 430.381083
16.828612 1 1760 444.773803
16.946287 1 1760 458.894853
17.066134 1 1760 473.276478
17.182308 1 1760 487.217348
17.302244 1 1760 501.609703
17.420554 1 1760 515.806788
17.540421 1 1760 530.190913
17.658338 1 1760 544.340948
17.776204 1 1760 558.484848
17.892360 1 1760 572.423593
18.017403 1 1760 587.428758
18.138363 1 1760 601.943893
18.260134 1 1760 616.556423
18.379624 1 1760 630.895243
18.502153 1 1760 645.598723
18.622020 1 1760 659.982738
18.740640 1 1760 674.217178
18.858370 1 1760 688.344803
18.980418 1 1760 702.990488
19.105473 1 1760 717.997163
19.223658 1 1760 732.179288
19.346332 1 1760 746.900153
19.466110 1 1760 761.273578
19.578511 1 1760 774.761638
19.696357 1 1760 788.903193
19.816445 1 1760 803.313723
19.938615 1 1760 817.974163
20.059722 1 1760 832.506988
20.178236 1 1760 846.728728
20.298585 1 1760 861.170548
20.416256 1 1760 875.291133
20.534197 1 1760 889.444018
20.656115 1 1760 904.074208
20.776104 1 1760 918.472823
20.895094 1 1760 932.751618
21.010297 1 1760 946.576003
21.128422 1 1760 960.750973
21.245897 1 1760 974.847983
21.362297 1 1760 988.816028
21.478495 1 1760 1002.759798
21.596045 1 1760 1016.865733
21.708709 1 1760 1030.385453
21.830656 1 1760 1045.019113
21.950708 1 1760 1059.425373
22.068665 1 1760 1073.580118
22.185980 1 1760 1087.657978
22.298662 1 1760 1101.179848
22.416154 1 1760 1115.278883
22.535923 1 1760 1129.651148
22.650373 1 1760 1143.385183
22.771830 1 1760 1157.959993
22.888455 1 1760 1171.954983
23.005977 1 1760 1186.057648
23.125626 1 1760 1200.415498
23.238682 1 1760 1213.982243
23.358583 1 1760 1228.370273
23.478266 1 1760 1242.732248
23.597879 1 1760 1257.085868
23.718408 1 1760 1271.549378
23.840324 1 1760 1286.179278
23.958466 1 1760 1300.356313
24.078531 1 1760 1314.764138
24.196717 0 1760 1291.855245
24.206199 0 1760 1291.855245
24.216755 0 1760 1291.855245
24.223541 0 1760 1291.855245
24.231430 0 1760 1291.855245
24.236172 0 1760 1291.855245
24.245893 0 1760 1291.855245
24.252277 0 1760 1291.855245
24.260487 0 1760 1291.855245
24.270638 0 1760 1291.855245
24.281719 0 1760 1291.855245
24.288551 0 1760 1291.855245
24.297727 0 1760 1291.855245
24.308145 0 1760 1291.855245
24.312633 0 1760 1291.855245
24.322103 0 1760 1291.855245
24.328247 0 1760 1291.855245
24.337943 0 1760 1291.855245
24.346390 0 1760 1291.855245
24.352494 0 1760 1291.855245
24.361616 0 1760 1291.855245
24.369884 0 1760 1291.855245
24.377901 0 1760 1291.855245
24.386379 0 1760 1291.855245
24.391951 0 1760 1291.855245
24.400333 0 1760 1291.855245
24.410720 0 1760 1291.855245
24.421300 0 1760 1291.855245
24.422666 0 1760 1291.855245
24.436419 0 1760 1291.855245
24.448679 0 1760 1291.855245
24.451891 0 1760 1291.855245
24.461759 0 1760 1291.855245
24.468114 0 1760 1291.855245
24.476117 0 1760 1291.855245
24.487872 0 1760 1291.855245
24.496739 0 1760 1291.855245
24.502173 0 1760 1291.855245
24.515314 0 1760 1291.855245
24.517973 0 1760 1291.855245
24.527091 0 1760 1291.855245
24.536415 0 1760 1291.855245
24.540703 0 1760 1291.855245
24.549634 0 1760 1291.855245
24.558706 0 1760 1291.855245
24.566662 0 1760 1291.855245
24.575726 0 1760 1291.855245
24.581823 0 1760 1291.855245
24.588255 0 1760 1291.855245
24.595639 0 1760 1291.855245
24.602415 0 1760 1291.855245
24.612200 0 1760 1291.855245
24.621846 0 1760 1291.855245
24.630272 0 1760 1291.855245
24.641588 0 1760 1291.855245
24.650613 0 1760 1291.855245
